words;T1;T2;T3;T4;T5;T6;T7;T8;T9;T10;T11;T12;T13;T14
thetao;5,17E-07;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;8,45E-05;1,37E-06;2,20E-06;2,62E-06;2,03E-06
areliv;5,17E-07;1,39E-06;4,28E-06;1,27E-06;3,22E-05;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
onceth;5,17E-07;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;1,32E-05;2,62E-06;3,25E-05
cucumb;5,17E-07;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;0,00010158;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
segreg;2,12E-05;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
outliv;3,10E-06;1,39E-06;4,28E-06;1,27E-06;1,24E-06;1,69E-05;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;1,22E-05
reopen;5,17E-07;1,39E-06;4,28E-06;1,27E-06;1,24E-06;3,10E-05;1,58E-05;6,25E-05;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;1,22E-05
mfocus;5,17E-07;1,53E-05;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;2,88E-05;2,20E-06;2,62E-06;2,03E-06
fastin;5,17E-07;1,39E-06;4,28E-06;9,04E-05;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
mundan;1,60E-05;1,39E-06;4,28E-06;1,27E-06;1,24E-06;3,10E-05;2,63E-06;2,34E-05;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
gannon;5,17E-07;1,39E-06;2,57E-05;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;9,02E-05;1,57E-05;1,22E-05
lineno;5,17E-07;2,93E-05;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;0,000144898;1,37E-06;2,20E-06;2,62E-06;2,03E-06
includ;0,00075305;0,001214945;4,28E-06;0,000536039;0,000762277;0,000524897;0,001487986;4,30E-05;0,000460638;0,002559871;0,00628015;0,002433684;0,002374867;0,000551261
though;0,001148712;0,000935968;4,28E-06;0,000949847;0,000421975;0,000524897;6,84E-05;0,000492274;0,001170644;0,000607768;0,000317027;2,20E-06;0,00068415;0,000927583
lonexa;5,17E-07;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;0,00010158;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
laplac;5,17E-07;1,39E-06;4,28E-06;1,27E-06;1,24E-06;4,52E-05;2,63E-06;3,91E-06;1,73E-06;4,43E-05;2,20E-05;2,20E-06;2,62E-06;2,24E-05
donkey;8,28E-06;1,39E-06;4,28E-06;1,27E-06;2,60E-05;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
affirm;0,000114302;1,39E-06;4,28E-06;1,27E-06;5,69E-05;2,82E-06;1,58E-05;2,34E-05;1,73E-06;4,02E-06;1,37E-06;1,32E-05;2,62E-06;2,03E-06
spinal;5,17E-07;1,39E-06;4,28E-06;3,95E-05;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;1,32E-05;2,62E-06;1,22E-05
hanifa;1,09E-05;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
walpol;5,17E-07;1,39E-06;4,28E-06;1,27E-06;1,98E-05;2,82E-06;2,63E-06;3,91E-06;1,90E-05;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
prasad;3,10E-06;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;0,000121115;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
dodson;5,17E-07;1,39E-06;4,28E-06;3,31E-05;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,24E-05
pellet;5,17E-07;1,39E-06;4,28E-06;1,40E-05;1,24E-06;0,000285025;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
evelyn;3,41E-05;1,39E-06;4,28E-06;1,27E-06;1,24E-06;0,000101593;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
iomega;5,17E-07;3,63E-05;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
siames;2,90E-05;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
lfoard;3,93E-05;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;0,000112222;2,62E-06;2,03E-06
steril;5,17E-07;1,39E-06;4,28E-06;2,04E-05;1,36E-05;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;4,62E-05;2,62E-06;2,03E-06
wagner;6,52E-05;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;0,00043367;7,10E-05;4,02E-06;1,37E-06;2,20E-06;2,62E-06;1,22E-05
guinea;5,17E-07;1,39E-06;4,28E-06;1,27E-06;1,24E-06;3,10E-05;1,58E-05;2,34E-05;1,73E-06;4,02E-06;1,37E-06;2,42E-05;2,62E-06;2,03E-06
albion;5,17E-07;1,39E-06;4,28E-06;4,58E-05;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
webber;5,17E-07;1,39E-06;4,28E-06;1,27E-06;1,24E-06;0,000115703;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
watart;5,17E-07;2,23E-05;4,28E-06;7,64E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,88E-05;1,22E-05
anonim;5,17E-07;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;2,20E-05;2,20E-06;2,62E-06;2,03E-06
iscurr;5,17E-07;8,37E-06;4,28E-06;1,27E-06;1,24E-06;1,69E-05;1,58E-05;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
durham;3,10E-06;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;0,000257858;1,90E-05;4,02E-06;8,23E-06;1,32E-05;6,82E-05;0,000103743
scalar;5,69E-06;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;9,46E-05;3,91E-06;1,73E-06;4,02E-06;8,23E-06;2,20E-06;2,62E-06;2,03E-06
orgfaq;5,17E-07;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;0,00014065;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
wariat;5,17E-07;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;4,19E-05;5,29E-05
veread;8,28E-06;1,39E-06;4,28E-06;1,40E-05;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
erivan;5,17E-07;1,39E-06;4,28E-06;1,27E-06;3,84E-05;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
deafen;5,17E-07;1,39E-06;4,28E-06;1,27E-06;4,45E-05;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
vessel;8,28E-06;1,39E-06;4,28E-06;5,86E-05;1,98E-05;0,000172144;8,15E-05;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
ribbon;5,17E-07;0,000140883;4,28E-06;7,64E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,04E-05;4,02E-06;1,37E-06;1,32E-05;2,62E-06;2,03E-06
murray;2,90E-05;0,000126935;4,28E-06;7,13E-05;1,24E-06;2,82E-06;8,15E-05;0,000199254;0,000252831;4,02E-06;1,37E-06;3,52E-05;2,62E-06;2,24E-05
rhonda;5,17E-07;1,39E-06;4,28E-06;3,95E-05;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
barlow;4,71E-05;1,39E-06;4,28E-06;1,27E-06;6,31E-05;2,82E-06;2,63E-06;2,34E-05;1,73E-06;4,02E-06;2,88E-05;2,20E-06;2,62E-06;2,03E-06
fellow;0,000155679;8,51E-05;4,28E-06;4,58E-05;0,000124984;2,82E-06;2,89E-05;2,34E-05;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;1,22E-05
actual;0,001076303;0,001026635;4,28E-06;0,000797056;0,000329165;0,001865361;0,000607287;0,001429939;0,000928203;0,000346146;0,000337613;0,00090438;0,00107734;0,000632628
davidw;5,17E-07;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;4,27E-05
diabet;5,17E-07;1,39E-06;4,28E-06;0,0001095;1,24E-06;2,82E-06;2,63E-06;0,000785294;1,73E-06;4,02E-06;1,37E-06;6,82E-05;2,62E-06;2,03E-06
barter;5,17E-07;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;6,82E-05;2,62E-06;2,03E-06
bookwa;5,17E-07;1,39E-06;4,28E-06;1,27E-06;3,22E-05;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
sapien;5,17E-07;1,39E-06;4,28E-06;1,40E-05;1,24E-06;2,82E-06;2,63E-06;4,30E-05;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
itseem;2,64E-05;8,37E-06;4,28E-06;7,64E-06;2,60E-05;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;3,52E-05;1,57E-05;6,31E-05
dismay;1,09E-05;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
badboy;5,17E-07;1,39E-06;4,28E-06;3,95E-05;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
barney;1,09E-05;8,37E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;8,20E-05;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
bugger;5,17E-07;1,39E-06;4,28E-06;2,04E-05;1,24E-06;1,69E-05;2,63E-06;8,20E-05;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
warner;5,69E-06;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,51E-05;1,32E-05;1,57E-05;6,31E-05
filthi;3,10E-06;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
cactus;5,17E-07;2,23E-05;4,28E-06;0,000300488;1,24E-06;7,34E-05;1,58E-05;3,91E-06;1,04E-05;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
tamsun;3,10E-06;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;2,20E-05;2,20E-06;2,88E-05;2,03E-06
unemot;5,17E-07;1,39E-06;4,28E-06;7,64E-06;1,98E-05;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
snatch;5,69E-06;1,39E-06;4,28E-06;1,27E-06;1,98E-05;1,69E-05;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
wherev;5,69E-06;1,53E-05;4,28E-06;1,40E-05;3,84E-05;2,82E-06;2,63E-06;0,000160184;1,73E-06;4,02E-06;8,23E-06;6,82E-05;6,82E-05;2,03E-06
costar;5,17E-07;1,39E-06;4,28E-06;1,27E-06;1,24E-06;5,93E-05;4,21E-05;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
shitti;5,17E-07;8,37E-06;4,28E-06;1,27E-06;7,42E-06;2,82E-06;2,63E-06;2,34E-05;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
xmulib;5,17E-07;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;6,82E-05;2,03E-06
cyclic;1,34E-05;1,39E-06;4,28E-06;2,04E-05;7,42E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
bypass;5,17E-07;2,93E-05;4,28E-06;2,67E-05;1,24E-06;2,82E-06;2,63E-06;8,20E-05;1,73E-06;4,02E-06;1,37E-06;1,32E-05;2,62E-06;1,22E-05
benoit;5,17E-07;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;4,30E-05;1,73E-06;4,02E-06;2,20E-05;2,20E-06;2,62E-06;2,03E-06
suecid;1,34E-05;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
safeti;5,17E-07;1,39E-06;4,28E-06;0,000383249;7,55E-05;0,00175248;2,89E-05;0,000355531;1,73E-06;4,02E-06;8,23E-06;0,00080536;2,62E-06;2,03E-06
effici;5,17E-07;0,000112986;4,28E-06;5,86E-05;1,24E-06;0,000143923;2,89E-05;3,91E-06;1,73E-06;0,000305897;0,000207234;0,000167233;2,62E-06;6,31E-05
mauric;1,09E-05;1,53E-05;4,28E-06;1,27E-06;1,24E-06;2,82E-06;1,58E-05;6,25E-05;1,73E-06;4,02E-06;5,63E-05;3,52E-05;2,62E-06;2,03E-06
scicom;5,17E-07;8,37E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;0,000257858;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
brazil;3,10E-06;1,39E-06;4,28E-06;1,27E-06;1,98E-05;2,82E-06;6,84E-05;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,42E-05;2,62E-06;2,03E-06
martyr;3,67E-05;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;4,30E-05;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
usethi;5,17E-07;8,37E-06;4,70E-05;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,24E-05
soften;5,17E-07;1,39E-06;4,28E-06;5,22E-05;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,04E-05;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
myopic;8,28E-06;1,39E-06;4,28E-06;1,27E-06;1,36E-05;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,42E-05;2,62E-06;2,03E-06
bailey;3,67E-05;0,00011996;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;8,20E-05;1,73E-06;4,02E-06;1,37E-06;4,62E-05;4,19E-05;8,34E-05
burger;5,17E-07;1,39E-06;4,28E-06;7,64E-06;1,24E-06;1,69E-05;2,63E-06;2,34E-05;1,04E-05;2,41E-05;8,23E-06;2,20E-06;2,62E-06;2,03E-06
outdon;5,17E-07;1,39E-06;4,28E-06;1,27E-06;3,22E-05;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
rememb;0,000595303;0,000475656;4,28E-06;0,000949847;0,000904585;0,00079299;0,000252379;0,000980641;0,00088491;0,000104649;1,37E-06;2,20E-06;0,000408918;0,000500407
milton;3,10E-06;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;1,58E-05;3,91E-06;1,90E-05;4,02E-06;4,25E-05;7,92E-05;2,62E-06;2,03E-06
logist;5,69E-06;1,39E-06;4,28E-06;1,27E-06;1,24E-06;1,69E-05;1,58E-05;6,25E-05;1,73E-06;4,02E-06;8,23E-06;2,20E-06;2,62E-06;2,03E-06
upther;5,69E-06;1,39E-06;4,28E-06;7,64E-06;1,24E-06;2,82E-06;2,63E-06;2,34E-05;1,73E-06;4,02E-06;1,37E-06;1,32E-05;2,62E-06;2,03E-06
uponth;8,28E-06;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;1,22E-05
bandit;5,17E-07;1,39E-06;4,28E-06;1,27E-06;0,000149733;1,69E-05;2,63E-06;4,30E-05;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
suresh;5,17E-07;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;8,23E-06;2,20E-06;1,57E-05;0,000195281
bissda;3,41E-05;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
slinki;5,17E-07;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;2,41E-05;8,23E-06;2,20E-06;1,57E-05;3,25E-05
stupid;0,000204813;9,90E-05;4,28E-06;0,000192261;0,000118796;0,000270915;2,63E-06;3,91E-06;0,000339417;4,02E-06;1,37E-06;2,20E-06;8,13E-05;0,000164768
master;0,000308254;0,000517502;4,28E-06;0,000128599;5,69E-05;8,75E-05;2,63E-06;0,00010158;1,73E-06;4,02E-06;6,31E-05;0,000134227;2,62E-06;3,25E-05
bitftp;5,17E-07;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;3,57E-05;2,20E-06;2,62E-06;2,03E-06
poster;0,000256534;5,72E-05;4,28E-06;0,000198627;7,42E-06;0,000186254;2,63E-06;0,000121115;0,000105635;2,41E-05;0,000275855;0,000189238;2,88E-05;0,000195281
bondag;2,12E-05;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;3,25E-05
safest;5,69E-06;8,37E-06;4,28E-06;1,27E-06;1,24E-06;3,10E-05;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
magnet;5,17E-07;4,32E-05;4,28E-06;8,40E-05;2,60E-05;2,82E-06;0,000817603;2,34E-05;1,04E-05;4,02E-06;9,74E-05;2,20E-06;2,62E-06;9,36E-05
boyhad;5,17E-07;1,39E-06;4,28E-06;1,27E-06;1,24E-06;1,69E-05;2,63E-06;0,00014065;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
cotton;8,28E-06;1,39E-06;4,28E-06;2,04E-05;1,36E-05;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;0,000123225;2,62E-06;2,03E-06
donahu;5,17E-07;2,23E-05;4,28E-06;1,27E-06;7,42E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
humpti;1,34E-05;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;2,34E-05;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;1,22E-05
orwhat;5,69E-06;2,23E-05;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,24E-05
abbott;5,17E-07;1,39E-06;4,28E-06;1,40E-05;1,24E-06;2,82E-06;2,63E-06;2,34E-05;0,000114294;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
sweden;5,17E-07;9,90E-05;2,57E-05;7,77E-05;3,22E-05;2,82E-06;4,21E-05;4,30E-05;0,000244173;4,02E-06;4,25E-05;7,92E-05;4,19E-05;3,25E-05
winner;3,10E-06;2,23E-05;4,28E-06;3,31E-05;1,24E-06;0,000143923;2,63E-06;3,91E-06;0,000547224;0,000748642;1,37E-06;2,20E-06;2,62E-06;2,03E-06
unisql;5,17E-07;1,39E-06;4,28E-06;0,000179529;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
advers;5,69E-06;1,39E-06;4,28E-06;5,86E-05;1,24E-06;2,82E-06;1,58E-05;3,91E-06;1,73E-06;4,02E-06;3,57E-05;6,82E-05;2,62E-06;2,03E-06
parker;5,17E-07;8,37E-06;4,28E-06;4,58E-05;1,24E-06;2,82E-06;2,63E-06;3,91E-06;2,77E-05;4,02E-06;1,37E-06;0,000112222;2,62E-06;2,03E-06
suppos;0,000993551;0,000566323;4,28E-06;0,000491476;8,79E-05;0,000200364;2,63E-06;0,000121115;0,000339417;4,02E-06;4,94E-05;2,20E-06;0,000422024;0,000713995
rental;5,17E-07;1,39E-06;4,28E-06;9,04E-05;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;8,23E-06;2,42E-05;2,62E-06;2,03E-06
schiff;5,17E-07;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;0,00014065;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
commut;5,17E-07;1,39E-06;4,28E-06;4,58E-05;1,24E-06;2,82E-06;4,21E-05;3,91E-06;1,73E-06;4,02E-06;1,51E-05;2,20E-06;2,62E-06;2,03E-06
minski;5,17E-07;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;0,000121115;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
getthi;3,10E-06;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;4,30E-05;1,73E-06;4,02E-06;8,23E-06;2,20E-06;2,62E-06;2,03E-06
isluga;5,17E-07;6,42E-05;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
textur;3,10E-06;1,39E-06;4,28E-06;2,04E-05;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;0,000185148;0,000502302;2,20E-06;2,62E-06;2,03E-06
primer;5,17E-07;1,39E-06;4,28E-06;2,04E-05;1,24E-06;8,75E-05;2,63E-06;3,91E-06;1,04E-05;4,02E-06;8,23E-06;3,52E-05;2,62E-06;1,22E-05
garvey;5,17E-07;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;0,000140269;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
yehuda;8,28E-06;1,39E-06;4,28E-06;1,27E-06;6,31E-05;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
queloz;5,17E-07;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;8,23E-06;2,20E-06;2,88E-05;8,34E-05
xcpslf;8,28E-06;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;1,22E-05
acsddc;5,17E-07;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;7,32E-05
gender;5,74E-05;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;2,34E-05;1,73E-06;4,02E-06;1,37E-06;2,42E-05;2,62E-06;2,03E-06
joiner;5,17E-07;1,39E-06;4,28E-06;1,27E-06;1,24E-06;5,93E-05;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
slowli;1,34E-05;3,63E-05;4,28E-06;0,000154064;5,07E-05;2,82E-06;5,52E-05;3,91E-06;4,50E-05;4,02E-06;4,25E-05;2,20E-06;2,62E-06;6,31E-05
agener;5,17E-07;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;6,44E-05;1,37E-06;1,32E-05;2,62E-06;2,03E-06
oaddab;5,17E-07;1,39E-06;4,28E-06;2,67E-05;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
liabil;5,17E-07;1,39E-06;4,28E-06;5,86E-05;1,24E-06;2,82E-06;2,63E-06;3,91E-06;0,000122952;6,44E-05;1,37E-06;2,42E-05;1,57E-05;2,03E-06
frivil;5,17E-07;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;2,34E-05;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
lister;5,17E-07;3,63E-05;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;4,62E-05;2,62E-06;2,03E-06
hbrook;5,17E-07;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;8,83E-05;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
sentra;5,17E-07;1,39E-06;4,28E-06;0,000154064;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
berean;1,60E-05;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
